word,frequencies
ligula.,3
pulvinar.,2
"lobortis,",1
varius,1
accumsan,1
"condimentum,",1
convallis,1
fringilla,1
arcu,1
rhoncus,4
efficitur.,1
elementum,1
"tortor,",1
fames,1
interdum,3
finibus,2
"eu,",1
vel,2
"mattis,",1
dignissim,2
orci.,1
mattis.,1
congue,3
"vel,",1
nec.,1
"est,",2
semper,3
tristique,1
ex.,1
sed.,1
dolor,3
blandit,5
Phasellus,2
iaculis,3
ante.,2
quam.,1
lobortis,1
urna,1
primis,2
Duis,2
placerat,1
ultrices,4
elit.,1
a.,1
Praesent,2
ornare.,1
eleifend,4
vulputate,1
Quisque,2
et,9
porttitor,3
tincidunt,3
mollis,1
mattis,1
ipsum,5
metus.,2
tempus,1
rutrum,1
sollicitudin,4
ligula,1
aliquet,2
scelerisque,3
non,4
"felis,",1
"sapien,",1
nisi,2
platea,1
purus,1
eu,5
faucibus,2
vulputate.,1
ornare,5
vitae.,1
eros,3
Integer,2
tellus,4
sodales,1
lacus,5
"augue,",1
imperdiet,1
habitasse,1
eget,4
tellus.,1
Morbi,2
justo,1
"ullamcorper,",1
auctor,4
malesuada,2
faucibus.,1
nisl.,1
enim,2
est,2
in,6
Pellentesque,4
"aliquam,",1
"urna,",1
hac,1
amet,5
turpis,1
nec,3
ut,6
orci,2
"maximus,",1
sem.,1
adipiscing,1
velit,2
sem,3
gravida,2
vitae,3
commodo,5
sed,5
nulla,4
interdum.,1
dapibus,1
leo,2
elementum.,1
nibh,1
molestie,1
Ut,3
"in,",1
"neque,",1
"facilisis,",1
condimentum.,1
"nunc,",2
tortor,2
ex,2
"sed,",1
elit,2
"vehicula,",1
pretium,2
mauris.,2
pellentesque,3
nisl,2
posuere,4
augue,2
metus,3
egestas,1
erat.,1
ullamcorper,1
"lacus,",1
mi.,2
laoreet.,1
facilisis,2
Nullam,3
porta,1
"nulla,",2
Sed,2
at,6
eleifend.,2
a,6
"id,",1
sapien,3
feugiat,2
venenatis.,1
In,4
mauris,2
tempor,2
"mauris,",1
Etiam,1
"ac,",1
"quis,",2
neque,4
id,4
Mauris,2
"tincidunt,",1
ac,2
Lorem,1
hendrerit,1
felis,1
sit,7
"ultricies,",1
"justo,",2
"turpis,",1
vestibulum,1
quis,5
cursus,1
risus.,2
luctus,3
laoreet,1
tincidunt.,2
ante,4
bibendum,1
Donec,4
mi,4
odio.,1
efficitur,1
Fusce,1
"amet,",2
venenatis,3
suscipit,1
Proin,3
"ex,",1
tristique.,1
Aliquam,1
Interdum,1
iaculis.,2
Nam,1
vehicula,2
Curabitur,1
Vestibulum,3
dictumst.,1
vehicula.,1
"tellus,",1
nibh.,2
Vivamus,4
porta.,1
viverra,4
Nulla,4
"at,",1
consectetur,2
lorem,3
cubilia,1
euismod,1
et.,1
libero,2
tempus.,2
ipsum.,1
Nunc,3
porttitor.,1
gravida.,1
"purus,",1
pulvinar,3
odio,1
ultricies,1
"tempor,",1
sapien.,3
consequat,1
mollis.,1
volutpat,1
nunc,1
Maecenas,3
fermentum,3
"ut,",1
curae;,1
